proyecto,tipo_obra,fase,actividad,material,cantidad_material,costo_unitario,costo_material,horas_trabajadas,costo_mano_obra,costo_estimado,costo_real,diferencia_costo,porcentaje_desviacion,duracion_estimada,duracion_real,retraso_dias,ciudad,clima
Proyecto_3,Comercial,Estructura,Encofrado,Cemento,154,15278,2352812,125,1794500,4147312,5476568,1329256,32.051024856581805,14,12,-2,Barranquilla,Soleado
Proyecto_7,Industrial,Cimentación,Vaciado concreto,Cemento,38,23954,910252,151,2952956,3863208,3263770,-599438,-15.516586215394046,23,21,-2,Barranquilla,Lluvia
Proyecto_17,Residencial,Estructura,Vaciado concreto,Cemento,12,69164,829968,196,3508008,4337976,4296463,-41513,-0.9569670279411411,26,33,7,Cali,Nublado
Proyecto_18,Industrial,Acabados,Excavación,Arena,16,13726,219616,110,1368290,1587906,2161018,573112,36.09231276914377,5,13,8,Cali,Soleado
Proyecto_8,Comercial,Instalaciones,Pintura,Acero,412,52482,21622584,131,1155158,22777742,24586885,1809143,7.942591500070552,26,23,-3,Cali,Soleado
Proyecto_18,Industrial,Estructura,Instalación eléctrica,Grava,40,43712,1748480,168,2451792,4200272,5024361,824089,19.619896044827573,12,21,9,Medellín,Lluvia
Proyecto_18,Industrial,Cimentación,Excavación,Ladrillo,347,70037,24302839,131,1053502,25356341,28505160,3148819,12.418270443673242,29,33,4,Bogotá,Lluvia
Proyecto_13,Industrial,Cimentación,Excavación,Cemento,343,48148,16514764,128,1633664,18148428,21107745,2959317,16.3061891641524,8,15,7,Medellín,Soleado
Proyecto_12,Residencial,Instalaciones,Pintura,Ladrillo,340,76718,26084120,197,2308249,28392369,35516488,7124119,25.091668116880278,5,14,9,Bogotá,Soleado
Proyecto_4,Industrial,Acabados,Instalación eléctrica,Acero,456,25893,11807208,157,2514041,14321249,16083684,1762435,12.306433607850824,12,21,9,Cali,Nublado
Proyecto_9,Residencial,Estructura,Vaciado concreto,Arena,388,38336,14874368,132,1827012,16701380,19476222,2774842,16.614447428895097,11,19,8,Barranquilla,Lluvia
Proyecto_2,Residencial,Cimentación,Excavación,Acero,40,51899,2075960,184,1662072,3738032,3092835,-645197,-17.26033913032312,8,11,3,Cali,Nublado
Proyecto_8,Industrial,Instalaciones,Encofrado,Acero,486,50669,24625134,156,2990832,27615966,24750453,-2865513,-10.376291019477646,12,21,9,Bogotá,Lluvia
Proyecto_13,Industrial,Acabados,Pintura,Cemento,81,52587,4259547,145,1660540,5920087,6801862,881775,14.894629082309093,24,21,-3,Cali,Nublado
Proyecto_7,Industrial,Estructura,Instalación eléctrica,Grava,271,31979,8666309,105,2060625,10726934,14244422,3517488,32.791177796003964,25,28,3,Cali,Lluvia
Proyecto_17,Residencial,Instalaciones,Pintura,Ladrillo,236,27875,6578500,131,2412103,8990603,9949764,959161,10.668483526633308,27,31,4,Barranquilla,Nublado
Proyecto_3,Industrial,Estructura,Pintura,Acero,354,11018,3900372,21,280329,4180701,5086425,905724,21.66440508421913,20,20,0,Cali,Lluvia
Proyecto_7,Residencial,Cimentación,Vaciado concreto,Acero,113,38114,4306882,178,2274840,6581722,8857564,2275842,34.57821524518963,16,21,5,Barranquilla,Soleado
Proyecto_5,Residencial,Acabados,Instalación eléctrica,Arena,24,68272,1638528,139,1302152,2940680,2552525,-388155,-13.199498075275107,7,9,2,Barranquilla,Lluvia
Proyecto_8,Industrial,Estructura,Instalación eléctrica,Acero,446,23132,10316872,78,1436214,11753086,15066257,3313171,28.18979627988768,13,17,4,Bogotá,Lluvia
Proyecto_19,Comercial,Cimentación,Encofrado,Arena,455,34694,15785770,113,2196946,17982716,20197761,2215045,12.317633220699253,5,7,2,Medellín,Lluvia
Proyecto_2,Comercial,Acabados,Vaciado concreto,Acero,11,51229,563519,126,2174004,2737523,3333216,595693,21.76029205964662,11,12,1,Cali,Soleado
Proyecto_2,Comercial,Cimentación,Excavación,Ladrillo,213,72495,15441435,189,2298618,17740053,22841495,5101442,28.756633365187806,15,12,-3,Bogotá,Soleado
Proyecto_5,Industrial,Estructura,Excavación,Arena,154,69616,10720864,51,937992,11658856,10196462,-1462394,-12.543203209645956,19,19,0,Medellín,Soleado
Proyecto_7,Comercial,Instalaciones,Pintura,Ladrillo,368,29370,10808160,67,1198027,12006187,11807832,-198355,-1.6521065347391308,6,9,3,Bogotá,Lluvia
Proyecto_3,Industrial,Estructura,Excavación,Arena,76,28159,2140084,71,837445,2977529,3846261,868732,29.176273346120222,23,28,5,Bogotá,Nublado
Proyecto_5,Comercial,Cimentación,Excavación,Acero,349,49721,17352629,30,255120,17607749,18088583,480834,2.730809031864323,19,18,-1,Medellín,Nublado
Proyecto_8,Comercial,Acabados,Instalación eléctrica,Cemento,159,37041,5889519,129,1532133,7421652,9062771,1641119,22.11258355956329,6,12,6,Barranquilla,Soleado
Proyecto_15,Residencial,Instalaciones,Vaciado concreto,Cemento,430,24914,10713020,20,189840,10902860,15242765,4339905,39.805197902201805,8,17,9,Barranquilla,Nublado
Proyecto_1,Comercial,Instalaciones,Vaciado concreto,Ladrillo,463,53825,24920975,117,1193751,26114726,34674966,8560240,32.77935981407578,9,13,4,Medellín,Lluvia
Proyecto_4,Residencial,Estructura,Pintura,Arena,46,72970,3356620,191,3457482,6814102,9459657,2645555,38.82470500148075,10,17,7,Medellín,Lluvia
Proyecto_7,Comercial,Acabados,Excavación,Acero,179,44359,7940261,65,1281280,9221541,12876616,3655075,39.636271204563315,13,22,9,Bogotá,Soleado
Proyecto_16,Comercial,Estructura,Vaciado concreto,Arena,48,26833,1287984,195,2718300,4006284,3248465,-757819,-18.91575834364214,5,12,7,Cali,Nublado
Proyecto_20,Industrial,Instalaciones,Excavación,Grava,406,71296,28946176,28,279916,29226092,35173072,5946980,20.348187503139318,17,24,7,Cali,Nublado
Proyecto_1,Comercial,Estructura,Vaciado concreto,Arena,267,73520,19629840,168,1689240,21319080,24455111,3136031,14.709973413486885,23,30,7,Cali,Nublado
Proyecto_15,Residencial,Instalaciones,Vaciado concreto,Grava,92,37313,3432796,91,1655654,5088450,5950728,862278,16.945788992718803,26,25,-1,Medellín,Lluvia
Proyecto_20,Industrial,Cimentación,Encofrado,Cemento,135,42722,5767470,169,3017833,8785303,8076933,-708370,-8.063125426635825,14,15,1,Barranquilla,Lluvia
Proyecto_19,Industrial,Estructura,Instalación eléctrica,Ladrillo,342,65217,22304214,21,306369,22610583,30533334,7922751,35.04001201561234,29,35,6,Medellín,Lluvia
Proyecto_15,Comercial,Instalaciones,Excavación,Arena,436,53917,23507812,156,2709252,26217064,22958966,-3258098,-12.427394615964625,25,23,-2,Bogotá,Lluvia
Proyecto_14,Industrial,Cimentación,Excavación,Acero,288,53010,15266880,11,156376,15423256,16489997,1066741,6.9164448803806415,21,25,4,Barranquilla,Lluvia
Proyecto_3,Industrial,Instalaciones,Instalación eléctrica,Ladrillo,309,57669,17819721,181,2179602,19999323,20320904,321581,1.607959429426686,6,14,8,Barranquilla,Nublado
Proyecto_5,Industrial,Cimentación,Vaciado concreto,Grava,139,69405,9647295,69,896172,10543467,14157541,3614074,34.27785186789127,13,16,3,Barranquilla,Nublado
Proyecto_1,Comercial,Instalaciones,Vaciado concreto,Acero,17,60411,1026987,76,697984,1724971,1749529,24558,1.4236761081780505,23,32,9,Bogotá,Lluvia
Proyecto_18,Comercial,Acabados,Vaciado concreto,Acero,62,49621,3076502,99,891297,3967799,4439471,471672,11.887497325343345,18,25,7,Cali,Lluvia
Proyecto_19,Residencial,Instalaciones,Encofrado,Arena,330,23831,7864230,39,633165,8497395,9647451,1150056,13.534218428118264,13,15,2,Cali,Nublado
Proyecto_1,Industrial,Cimentación,Pintura,Acero,477,50781,24222537,175,3058300,27280837,25570676,-1710161,-6.268726285780748,17,23,6,Barranquilla,Lluvia
Proyecto_20,Industrial,Acabados,Pintura,Grava,99,35643,3528657,124,2338144,5866801,7148021,1281220,21.83847722123181,5,4,-1,Medellín,Nublado
Proyecto_11,Industrial,Estructura,Encofrado,Ladrillo,168,66978,11252304,150,2747100,13999404,16488537,2489133,17.78027836042163,26,28,2,Bogotá,Lluvia
Proyecto_10,Industrial,Acabados,Encofrado,Ladrillo,481,71546,34413626,31,345309,34758935,34341625,-417310,-1.200583389565877,25,33,8,Bogotá,Nublado
Proyecto_11,Industrial,Cimentación,Instalación eléctrica,Cemento,87,52275,4547925,85,1128460,5676385,4968526,-707859,-12.470242945113835,7,16,9,Cali,Soleado
Proyecto_14,Comercial,Cimentación,Pintura,Ladrillo,215,28598,6148570,149,1486424,7634994,8734153,1099159,14.396330894300638,17,18,1,Cali,Lluvia
Proyecto_2,Comercial,Cimentación,Encofrado,Arena,332,45451,15089732,42,690522,15780254,18535518,2755264,17.460200577253065,13,21,8,Cali,Lluvia
Proyecto_20,Residencial,Instalaciones,Pintura,Grava,333,43599,14518467,30,314010,14832477,19530322,4697845,31.67269364381957,18,27,9,Bogotá,Soleado
Proyecto_4,Residencial,Acabados,Instalación eléctrica,Arena,260,19811,5150860,121,2389508,7540368,8786562,1246194,16.52696526217288,9,15,6,Cali,Lluvia
Proyecto_1,Industrial,Acabados,Encofrado,Acero,186,78850,14666100,190,3260020,17926120,22887120,4961000,27.67470038134298,18,15,-3,Cali,Lluvia
Proyecto_18,Industrial,Acabados,Encofrado,Acero,367,75485,27702995,28,365456,28068451,25361607,-2706844,-9.643724194113883,11,19,8,Barranquilla,Soleado
Proyecto_9,Residencial,Acabados,Encofrado,Acero,283,43997,12451151,116,1609500,14060651,17406727,3346076,23.79744721634866,5,10,5,Cali,Soleado
Proyecto_11,Industrial,Cimentación,Excavación,Arena,223,12431,2772113,99,1174437,3946550,5182664,1236114,31.321381966527728,18,26,8,Bogotá,Lluvia
Proyecto_4,Comercial,Acabados,Vaciado concreto,Ladrillo,151,33558,5067258,12,124452,5191710,5368456,176746,3.4043889200282758,9,18,9,Bogotá,Soleado
Proyecto_4,Industrial,Estructura,Vaciado concreto,Arena,161,33359,5370799,16,206160,5576959,5885918,308959,5.539918798040294,14,20,6,Bogotá,Lluvia
Proyecto_20,Residencial,Acabados,Encofrado,Arena,497,56718,28188846,109,1701817,29890663,34916874,5026211,16.81532122589586,14,22,8,Barranquilla,Soleado
Proyecto_2,Residencial,Acabados,Instalación eléctrica,Acero,56,43401,2430456,68,963220,3393676,4126208,732532,21.58520730912438,24,24,0,Barranquilla,Nublado
Proyecto_13,Industrial,Instalaciones,Excavación,Acero,301,11119,3346819,39,528840,3875659,5102905,1227246,31.665479341706792,15,20,5,Cali,Soleado
Proyecto_3,Comercial,Instalaciones,Excavación,Ladrillo,372,41728,15522816,25,386200,15909016,18940325,3031309,19.054032002984975,15,21,6,Bogotá,Soleado
Proyecto_16,Comercial,Acabados,Encofrado,Acero,225,78847,17740575,97,893273,18633848,23313392,4679544,25.11313819883043,22,23,1,Cali,Soleado
Proyecto_9,Industrial,Estructura,Vaciado concreto,Arena,419,53105,22250995,149,2143663,24394658,20464079,-3930579,-16.112457899594247,14,18,4,Barranquilla,Nublado
Proyecto_11,Comercial,Instalaciones,Pintura,Acero,322,33282,10716804,43,846498,11563302,16046278,4482976,38.7689952229908,25,31,6,Medellín,Soleado
Proyecto_20,Comercial,Instalaciones,Excavación,Acero,451,52171,23529121,192,2186112,25715233,26379147,663914,2.581792667404569,9,6,-3,Bogotá,Soleado
Proyecto_15,Industrial,Estructura,Instalación eléctrica,Acero,216,41686,9004176,126,1527498,10531674,13953852,3422178,32.494150502569674,10,11,1,Bogotá,Lluvia
Proyecto_3,Industrial,Cimentación,Instalación eléctrica,Ladrillo,97,78353,7600241,183,1748199,9348440,9358621,10181,0.10890587092605825,16,24,8,Cali,Nublado
Proyecto_13,Industrial,Instalaciones,Encofrado,Acero,381,73543,28019883,17,169694,28189577,37718211,9528634,33.80197581538737,20,29,9,Barranquilla,Lluvia
Proyecto_19,Industrial,Estructura,Vaciado concreto,Grava,84,60318,5066712,66,865986,5932698,7583040,1650342,27.817731494170104,17,24,7,Bogotá,Nublado
Proyecto_13,Residencial,Cimentación,Pintura,Acero,158,46449,7338942,189,2500470,9839412,9668876,-170536,-1.7331929997442936,5,3,-2,Bogotá,Nublado
Proyecto_6,Industrial,Cimentación,Vaciado concreto,Acero,55,17758,976690,113,2159091,3135781,3824943,689162,21.977363852896616,15,12,-3,Bogotá,Nublado
Proyecto_8,Residencial,Instalaciones,Excavación,Acero,98,17108,1676584,28,312592,1989176,2235415,246239,12.378944849525633,20,18,-2,Cali,Soleado
Proyecto_19,Residencial,Instalaciones,Encofrado,Ladrillo,26,33108,860808,40,404000,1264808,1661035,396227,31.32704726725321,7,15,8,Bogotá,Nublado
Proyecto_7,Residencial,Instalaciones,Excavación,Cemento,317,72753,23062701,138,1564506,24627207,25205436,578229,2.3479276395410977,29,38,9,Bogotá,Lluvia
Proyecto_11,Comercial,Instalaciones,Encofrado,Ladrillo,446,43128,19235088,162,1427382,20662470,21826336,1163866,5.632753489781232,22,21,-1,Bogotá,Lluvia
Proyecto_2,Comercial,Cimentación,Instalación eléctrica,Grava,325,24141,7845825,29,345883,8191708,7788020,-403688,-4.928007687774027,29,26,-3,Bogotá,Nublado
Proyecto_14,Comercial,Instalaciones,Vaciado concreto,Acero,152,34984,5317568,184,3657920,8975488,11012596,2037108,22.69634809828725,11,14,3,Barranquilla,Nublado
Proyecto_10,Comercial,Estructura,Pintura,Acero,379,31469,11926751,186,2365548,14292299,12159564,-2132735,-14.922266879527218,20,18,-2,Cali,Lluvia
Proyecto_1,Industrial,Estructura,Encofrado,Ladrillo,129,54349,7011021,145,1925600,8936621,9973889,1037268,11.606937342425063,29,35,6,Bogotá,Soleado
Proyecto_8,Residencial,Acabados,Pintura,Acero,68,40784,2773312,50,672700,3446012,2815989,-630023,-18.282669938468,20,28,8,Cali,Nublado
Proyecto_5,Residencial,Acabados,Pintura,Cemento,173,47297,8182381,89,1713873,9896254,7988724,-1907530,-19.275273249857978,10,16,6,Bogotá,Lluvia
Proyecto_5,Residencial,Estructura,Encofrado,Arena,48,20086,964128,88,1289024,2253152,2138183,-114969,-5.10258517845223,9,6,-3,Cali,Soleado
Proyecto_3,Comercial,Estructura,Instalación eléctrica,Acero,444,60211,26733684,153,3045618,29779302,32520500,2741198,9.205044497013395,6,5,-1,Bogotá,Nublado
Proyecto_19,Residencial,Estructura,Excavación,Acero,163,59041,9623683,59,670535,10294218,12713350,2419132,23.49991033801693,25,29,4,Medellín,Soleado
Proyecto_7,Residencial,Cimentación,Excavación,Cemento,264,61536,16245504,153,2134503,18380007,21493995,3113988,16.94225687726887,25,31,6,Medellín,Nublado
Proyecto_20,Industrial,Instalaciones,Vaciado concreto,Acero,474,48812,23136888,139,1112000,24248888,32686841,8437953,34.79727812673307,13,11,-2,Cali,Nublado
Proyecto_6,Comercial,Acabados,Encofrado,Ladrillo,141,48434,6829194,59,477192,7306386,9954991,2648605,36.250548492784255,6,15,9,Bogotá,Soleado
Proyecto_10,Residencial,Instalaciones,Excavación,Arena,351,50093,17582643,56,648200,18230843,24745993,6515150,35.736965098103255,25,33,8,Medellín,Nublado
Proyecto_13,Comercial,Estructura,Vaciado concreto,Grava,448,69934,31330432,161,2408882,33739314,42207350,8468036,25.098423755740857,12,12,0,Cali,Nublado
Proyecto_2,Residencial,Instalaciones,Encofrado,Ladrillo,274,78711,21566814,134,2112376,23679190,21866154,-1813036,-7.656663931494279,12,17,5,Barranquilla,Nublado
Proyecto_12,Residencial,Estructura,Pintura,Ladrillo,156,12177,1899612,172,2566756,4466368,3839577,-626791,-14.033572692621835,23,31,8,Medellín,Soleado
Proyecto_6,Comercial,Acabados,Instalación eléctrica,Cemento,264,58598,15469872,94,1495258,16965130,18270787,1305657,7.696121397242461,10,18,8,Cali,Nublado
Proyecto_6,Residencial,Cimentación,Excavación,Acero,329,36618,12047322,178,2255438,14302760,18163710,3860950,26.994440233912897,23,28,5,Cali,Nublado
Proyecto_17,Industrial,Estructura,Excavación,Arena,178,29097,5179266,187,3617702,8796968,8778553,-18415,-0.20933348853832365,19,21,2,Barranquilla,Nublado
Proyecto_4,Industrial,Cimentación,Instalación eléctrica,Ladrillo,168,29466,4950288,14,157556,5107844,4328811,-779033,-15.25169915134448,7,13,6,Bogotá,Lluvia
Proyecto_4,Residencial,Acabados,Pintura,Acero,332,50529,16775628,132,1511928,18287556,25514194,7226638,39.51669649022537,26,26,0,Bogotá,Lluvia
Proyecto_12,Residencial,Instalaciones,Vaciado concreto,Ladrillo,165,78566,12963390,174,2708484,15671874,21855202,6183328,39.454936914372844,25,30,5,Cali,Soleado
Proyecto_11,Residencial,Acabados,Instalación eléctrica,Cemento,382,35248,13464736,108,1800468,15265204,14611850,-653354,-4.280021413405284,21,29,8,Barranquilla,Soleado
Proyecto_5,Residencial,Estructura,Instalación eléctrica,Grava,178,71094,12654732,157,2910780,15565512,14204182,-1361330,-8.745809325128526,26,24,-2,Bogotá,Lluvia
Proyecto_12,Comercial,Cimentación,Instalación eléctrica,Arena,344,25660,8827040,173,3029403,11856443,10405578,-1450865,-12.236933117293272,5,5,0,Cali,Soleado
Proyecto_17,Industrial,Cimentación,Vaciado concreto,Cemento,35,76905,2691675,37,698301,3389976,3758494,368518,10.870814424644895,18,25,7,Cali,Lluvia
Proyecto_2,Residencial,Estructura,Encofrado,Cemento,202,19338,3906276,77,1246399,5152675,6624991,1472316,28.573818453521717,15,17,2,Barranquilla,Lluvia
Proyecto_12,Industrial,Instalaciones,Pintura,Cemento,79,50692,4004668,13,257595,4262263,3733861,-528402,-12.39721715905377,21,27,6,Bogotá,Nublado
Proyecto_3,Residencial,Acabados,Instalación eléctrica,Acero,65,58846,3824990,63,886788,4711778,4422216,-289562,-6.1454932723910165,19,28,9,Barranquilla,Nublado
Proyecto_3,Industrial,Acabados,Instalación eléctrica,Ladrillo,370,78685,29113450,150,2155950,31269400,29971474,-1297926,-4.150786391807966,19,17,-2,Bogotá,Nublado
Proyecto_15,Industrial,Cimentación,Vaciado concreto,Cemento,338,74366,25135708,184,3606768,28742476,29786701,1044225,3.6330377382936665,23,29,6,Medellín,Soleado
Proyecto_7,Industrial,Acabados,Vaciado concreto,Ladrillo,481,28681,13795561,55,1040380,14835941,17199195,2363254,15.929249112004424,12,14,2,Medellín,Nublado
Proyecto_5,Industrial,Estructura,Excavación,Acero,58,53191,3085078,55,1031800,4116878,3470388,-646490,-15.703404375840138,5,5,0,Bogotá,Lluvia
Proyecto_4,Industrial,Acabados,Pintura,Cemento,298,25942,7730716,106,1525128,9255844,10392393,1136549,12.279258379894907,23,26,3,Medellín,Lluvia
Proyecto_1,Residencial,Acabados,Encofrado,Cemento,387,11695,4525965,35,688870,5214835,7099694,1884859,36.14417330557918,27,25,-2,Cali,Soleado
Proyecto_1,Comercial,Acabados,Vaciado concreto,Grava,32,37776,1208832,32,342880,1551712,1739312,187600,12.089872347445919,21,22,1,Bogotá,Soleado
Proyecto_1,Comercial,Instalaciones,Excavación,Arena,463,61648,28543024,191,3396171,31939195,31562066,-377129,-1.1807717758697425,21,24,3,Bogotá,Lluvia
Proyecto_7,Industrial,Instalaciones,Excavación,Acero,276,32097,8858772,88,1672528,10531300,14565757,4034457,38.30920209280905,17,21,4,Bogotá,Lluvia
Proyecto_2,Residencial,Instalaciones,Pintura,Arena,126,41064,5174064,135,2567970,7742034,6314058,-1427976,-18.44445529430638,29,36,7,Cali,Nublado
Proyecto_14,Residencial,Acabados,Vaciado concreto,Acero,191,59121,11292111,128,2159104,13451215,18645397,5194182,38.61496526521954,24,27,3,Barranquilla,Nublado
Proyecto_2,Industrial,Cimentación,Pintura,Grava,414,73616,30477024,102,1792650,32269674,29395845,-2873829,-8.905664804670788,25,31,6,Barranquilla,Lluvia
Proyecto_18,Comercial,Instalaciones,Vaciado concreto,Grava,370,78434,29020580,57,579690,29600270,29233483,-366787,-1.2391339673590815,21,25,4,Bogotá,Lluvia
Proyecto_15,Comercial,Estructura,Pintura,Cemento,330,72155,23811150,117,1677078,25488228,26841648,1353420,5.30998074875978,9,7,-2,Barranquilla,Soleado
Proyecto_10,Industrial,Instalaciones,Instalación eléctrica,Grava,440,41632,18318080,190,3288520,21606600,20975133,-631467,-2.9225653272611147,12,21,9,Medellín,Lluvia
Proyecto_19,Industrial,Estructura,Excavación,Ladrillo,460,10640,4894400,44,360712,5255112,4708324,-546788,-10.40487814531831,22,25,3,Medellín,Lluvia
Proyecto_13,Comercial,Acabados,Vaciado concreto,Ladrillo,187,16861,3153007,109,1503219,4656226,5100154,443928,9.534073303142932,14,23,9,Barranquilla,Lluvia
Proyecto_3,Comercial,Estructura,Excavación,Grava,133,53382,7099806,184,2189968,9289774,7685330,-1604444,-17.27107677754055,12,16,4,Bogotá,Lluvia
Proyecto_14,Industrial,Instalaciones,Excavación,Acero,472,10173,4801656,95,981255,5782911,5622298,-160613,-2.777372849072033,11,10,-1,Cali,Lluvia
Proyecto_5,Residencial,Estructura,Excavación,Ladrillo,226,34452,7786152,149,2950200,10736352,14093212,3356860,31.266299763644113,25,28,3,Medellín,Soleado
Proyecto_9,Comercial,Cimentación,Excavación,Grava,92,67392,6200064,189,3011148,9211212,8055731,-1155481,-12.544288417202862,17,24,7,Bogotá,Soleado
Proyecto_14,Residencial,Estructura,Instalación eléctrica,Grava,355,61109,21693695,15,292560,21986255,30543284,8557029,38.919902457239765,9,10,1,Cali,Nublado
Proyecto_1,Industrial,Estructura,Vaciado concreto,Acero,422,59895,25275690,70,1264410,26540100,36324331,9784231,36.865840746643755,25,34,9,Cali,Lluvia
Proyecto_16,Residencial,Estructura,Instalación eléctrica,Ladrillo,116,17481,2027796,143,1722721,3750517,3463068,-287449,-7.664250022063625,10,19,9,Bogotá,Nublado
Proyecto_18,Industrial,Instalaciones,Encofrado,Arena,419,22965,9622335,141,2696907,12319242,16462517,4143275,33.63254817138912,5,2,-3,Cali,Nublado
Proyecto_13,Residencial,Acabados,Pintura,Acero,326,42114,13729164,116,1014072,14743236,19733806,4990570,33.849895640278696,5,2,-3,Medellín,Lluvia
Proyecto_20,Comercial,Acabados,Excavación,Cemento,15,42014,630210,12,238080,868290,780432,-87858,-10.118508793145148,7,11,4,Barranquilla,Soleado
Proyecto_6,Comercial,Instalaciones,Instalación eléctrica,Cemento,251,42617,10696867,176,2796816,13493683,14024062,530379,3.9305725501332733,12,20,8,Cali,Soleado
Proyecto_14,Industrial,Cimentación,Instalación eléctrica,Arena,256,19673,5036288,15,298290,5334578,5920410,585832,10.981787125429603,21,24,3,Bogotá,Lluvia
Proyecto_8,Residencial,Instalaciones,Encofrado,Ladrillo,351,43956,15428556,76,1093868,16522424,16549718,27294,0.16519367860309117,8,15,7,Bogotá,Lluvia
Proyecto_14,Industrial,Estructura,Encofrado,Grava,145,70340,10199300,195,2975115,13174415,14302849,1128434,8.565344267658185,21,30,9,Bogotá,Lluvia
Proyecto_3,Residencial,Instalaciones,Pintura,Acero,115,26723,3073145,176,2885344,5958489,6435344,476855,8.00295175505065,17,23,6,Cali,Lluvia
Proyecto_5,Industrial,Cimentación,Pintura,Ladrillo,178,51419,9152582,87,999978,10152560,11822302,1669742,16.446512012733734,20,24,4,Bogotá,Lluvia
