proyecto,nombre_proyecto,tipo_proyecto,fase,actividad,material,unidad_medida,cantidad_material,costo_unitario,costo_material,dias_trabajados,duracion_estimada,duracion_real,retraso_dias,costo_mano_obra,costo_estimado,costo_real,diferencia_costo,porcentaje_desviacion,ciudad,clima,estado_costo,fecha_inicio,fecha_fin,offset_inicio,duracion_calculada
8,Mall Gran Avenida,Comercial,Cimentación,Armado,Acero,Kg,99,4500,445500,21,24,21,-3,130000,3120000,2730000,390000,12.5,Bogotá,Soleado,Ahorro,2025-01-05,2025-03-11,4,65
4,Conjunto Horizonte Verde,Residencial,Instalaciones,Sanitaria,Punto sanitario,Punto,17,150000,2550000,19,23,19,-4,120000,2760000,2280000,480000,17.391304347826086,Bogotá,Nublado,Ahorro,2025-01-04,2025-03-03,3,58
7,Edificio Corporativo Torre Norte,Comercial,Instalaciones,Eléctrica,Punto eléctrico,Punto,19,120000,2280000,16,18,16,-2,120000,2160000,1920000,240000,11.11111111111111,Bogotá,Soleado,Ahorro,2025-01-09,2025-03-17,8,67
4,Conjunto Horizonte Verde,Residencial,Equipamiento,Accesorios baño,Juego sanitario,Unidad,8,300000,2400000,5,5,5,0,100000,500000,500000,0,0.0,Bogotá,Soleado,En presupuesto,2025-01-03,2025-01-19,2,16
4,Conjunto Horizonte Verde,Residencial,Equipamiento,Instalación cocina,MDF,Unidad,14,200000,2800000,13,16,13,-3,110000,1760000,1430000,330000,18.75,Bogotá,Soleado,Ahorro,2025-01-13,2025-02-14,12,32
2,Conjunto Cerrado Villa Campestre,Residencial,Acabados,Pintura,Pintura,Galón,7,90000,630000,15,14,15,1,90000,1260000,1350000,-90000,-7.142857142857142,Bogotá,Lluvia,Sobrecosto,2025-01-09,2025-02-23,8,45
5,Residencial Jardines del Sur,Residencial,Estructura,Vaciado,Concreto,m3,7,350000,2450000,21,19,21,2,130000,2470000,2730000,-260000,-10.526315789473683,Bogotá,Lluvia,Sobrecosto,2025-01-05,2025-01-28,4,23
3,Residencial Altos del Norte,Residencial,Equipamiento,Lavadero,Lavadero,Unidad,2,250000,500000,3,3,3,0,95000,285000,285000,0,0.0,Bogotá,Nublado,En presupuesto,2025-01-09,2025-01-11,8,2
5,Residencial Jardines del Sur,Residencial,Equipamiento,Lavadero,Lavadero,Unidad,6,250000,1500000,3,3,3,0,95000,285000,285000,0,0.0,Bogotá,Nublado,En presupuesto,2025-01-13,2025-01-30,12,17
4,Conjunto Horizonte Verde,Residencial,Cimentación,Armado,Acero,Kg,101,4500,454500,26,30,26,-4,130000,3900000,3380000,520000,13.333333333333334,Bogotá,Soleado,Ahorro,2025-01-07,2025-02-03,6,27
0,Conjunto Residencial Marsella,Residencial,Cimentación,Armado,Acero,Kg,112,4500,504000,29,34,29,-5,130000,4420000,3770000,650000,14.705882352941178,Bogotá,Soleado,Ahorro,2025-01-06,2025-03-25,5,78
2,Conjunto Cerrado Villa Campestre,Residencial,Estructura,Armado,Acero,Kg,106,4500,477000,24,24,24,0,130000,3120000,3120000,0,0.0,Bogotá,Soleado,En presupuesto,2025-01-08,2025-03-07,7,58
9,Centro Empresarial Nova,Comercial,Instalaciones,Sanitaria,Punto sanitario,Punto,12,150000,1800000,10,11,10,-1,120000,1320000,1200000,120000,9.090909090909092,Bogotá,Soleado,Ahorro,2025-01-04,2025-03-06,3,61
9,Centro Empresarial Nova,Comercial,Instalaciones,Gas,Punto gas,Punto,11,130000,1430000,13,12,13,1,120000,1440000,1560000,-120000,-8.333333333333332,Bogotá,Nublado,Sobrecosto,2025-01-07,2025-02-08,6,32
8,Mall Gran Avenida,Comercial,Estructura,Vaciado,Concreto,m3,15,350000,5250000,18,16,18,2,130000,2080000,2340000,-260000,-12.5,Bogotá,Lluvia,Sobrecosto,2025-01-08,2025-02-06,7,29
6,Centro Comercial Plaza Central,Comercial,Estructura,Armado,Acero,Kg,101,4500,454500,20,24,20,-4,130000,3120000,2600000,520000,16.666666666666664,Bogotá,Soleado,Ahorro,2025-01-07,2025-01-27,6,20
4,Conjunto Horizonte Verde,Residencial,Estructura,Armado,Acero,Kg,96,4500,432000,22,23,22,-1,130000,2990000,2860000,130000,4.3478260869565215,Bogotá,Soleado,Ahorro,2025-01-07,2025-02-05,6,29
4,Conjunto Horizonte Verde,Residencial,Equipamiento,Instalación closet,MDF,Unidad,12,200000,2400000,5,5,5,0,110000,550000,550000,0,0.0,Bogotá,Nublado,En presupuesto,2025-01-15,2025-01-20,14,5
8,Mall Gran Avenida,Comercial,Equipamiento,Accesorios baño,Juego sanitario,Unidad,2,300000,600000,8,10,8,-2,100000,1000000,800000,200000,20.0,Bogotá,Soleado,Ahorro,2025-01-14,2025-01-18,13,4
6,Centro Comercial Plaza Central,Comercial,Estructura,Vaciado,Concreto,m3,14,350000,4900000,17,17,17,0,130000,2210000,2210000,0,0.0,Bogotá,Soleado,En presupuesto,2025-01-08,2025-02-03,7,26
3,Residencial Altos del Norte,Residencial,Equipamiento,Instalación cocina,MDF,Unidad,16,200000,3200000,11,12,11,-1,110000,1320000,1210000,110000,8.333333333333332,Bogotá,Nublado,Ahorro,2025-01-12,2025-02-08,11,27
7,Edificio Corporativo Torre Norte,Comercial,Equipamiento,Accesorios baño,Juego sanitario,Unidad,4,300000,1200000,5,5,5,0,100000,500000,500000,0,0.0,Bogotá,Soleado,En presupuesto,2025-01-07,2025-01-18,6,11
1,Urbanización Los Almendros,Residencial,Estructura,Armado,Acero,Kg,118,4500,531000,21,23,21,-2,130000,2990000,2730000,260000,8.695652173913043,Bogotá,Nublado,Ahorro,2025-01-06,2025-03-20,5,73
4,Conjunto Horizonte Verde,Residencial,Cimentación,Armado,Acero,Kg,115,4500,517500,15,13,15,2,130000,1690000,1950000,-260000,-15.384615384615383,Bogotá,Nublado,Sobrecosto,2025-01-13,2025-03-05,12,51
4,Conjunto Horizonte Verde,Residencial,Cimentación,Vaciado,Concreto,m3,11,350000,3850000,16,19,16,-3,130000,2470000,2080000,390000,15.789473684210526,Bogotá,Nublado,Ahorro,2025-01-12,2025-02-25,11,44
2,Conjunto Cerrado Villa Campestre,Residencial,Equipamiento,Instalación closet,MDF,Unidad,17,200000,3400000,11,10,11,1,110000,1100000,1210000,-110000,-10.0,Bogotá,Lluvia,Sobrecosto,2025-01-05,2025-01-20,4,15
6,Centro Comercial Plaza Central,Comercial,Equipamiento,Lavadero,Lavadero,Unidad,1,250000,250000,3,3,3,0,95000,285000,285000,0,0.0,Bogotá,Nublado,En presupuesto,2025-01-09,2025-01-11,8,2
0,Conjunto Residencial Marsella,Residencial,Cimentación,Armado,Acero,Kg,98,4500,441000,19,19,19,0,130000,2470000,2470000,0,0.0,Bogotá,Soleado,En presupuesto,2025-01-09,2025-03-05,8,55
1,Urbanización Los Almendros,Residencial,Cimentación,Armado,Acero,Kg,112,4500,504000,17,16,17,1,130000,2080000,2210000,-130000,-6.25,Bogotá,Lluvia,Sobrecosto,2025-01-06,2025-03-06,5,59
6,Centro Comercial Plaza Central,Comercial,Equipamiento,Instalación cocina,MDF,Unidad,5,200000,1000000,14,14,14,0,110000,1540000,1540000,0,0.0,Bogotá,Soleado,En presupuesto,2025-01-14,2025-02-28,13,45
3,Residencial Altos del Norte,Residencial,Equipamiento,Lavadero,Lavadero,Unidad,3,250000,750000,6,7,6,-1,95000,665000,570000,95000,14.285714285714285,Bogotá,Soleado,Ahorro,2025-01-11,2025-02-10,10,30
1,Urbanización Los Almendros,Residencial,Estructura,Vaciado,Concreto,m3,7,350000,2450000,17,17,17,0,130000,2210000,2210000,0,0.0,Bogotá,Soleado,En presupuesto,2025-01-05,2025-02-09,4,35
0,Conjunto Residencial Marsella,Residencial,Equipamiento,Accesorios baño,Juego sanitario,Unidad,9,300000,2700000,5,5,5,0,100000,500000,500000,0,0.0,Bogotá,Nublado,En presupuesto,2025-01-11,2025-02-05,10,25
7,Edificio Corporativo Torre Norte,Comercial,Equipamiento,Lavadero,Lavadero,Unidad,10,250000,2500000,5,5,5,0,95000,475000,475000,0,0.0,Bogotá,Soleado,En presupuesto,2025-01-12,2025-02-19,11,38
5,Residencial Jardines del Sur,Residencial,Acabados,Enchape,Cerámica,m2,36,50000,1800000,17,20,17,-3,105000,2100000,1785000,315000,15.0,Bogotá,Soleado,Ahorro,2025-01-09,2025-02-25,8,47
6,Centro Comercial Plaza Central,Comercial,Acabados,Pintura,Pintura,Galón,10,90000,900000,10,9,10,1,90000,810000,900000,-90000,-11.11111111111111,Bogotá,Lluvia,Sobrecosto,2025-01-09,2025-02-01,8,23
4,Conjunto Horizonte Verde,Residencial,Estructura,Vaciado,Concreto,m3,7,350000,2450000,15,19,15,-4,130000,2470000,1950000,520000,21.052631578947366,Bogotá,Soleado,Ahorro,2025-01-11,2025-01-18,10,7
8,Mall Gran Avenida,Comercial,Acabados,Estuco,Estuco plástico,Bulto,15,30000,450000,10,9,10,1,95000,855000,950000,-95000,-11.11111111111111,Bogotá,Nublado,Sobrecosto,2025-01-14,2025-01-20,13,6
9,Centro Empresarial Nova,Comercial,Acabados,Estuco,Estuco plástico,Bulto,29,30000,870000,10,10,10,0,95000,950000,950000,0,0.0,Bogotá,Nublado,En presupuesto,2025-01-13,2025-02-25,12,43
6,Centro Comercial Plaza Central,Comercial,Equipamiento,Lavadero,Lavadero,Unidad,7,250000,1750000,3,3,3,0,95000,285000,285000,0,0.0,Bogotá,Nublado,En presupuesto,2025-01-18,2025-02-17,17,30
6,Centro Comercial Plaza Central,Comercial,Equipamiento,Instalación closet,MDF,Unidad,6,200000,1200000,9,8,9,1,110000,880000,990000,-110000,-12.5,Bogotá,Lluvia,Sobrecosto,2025-01-13,2025-03-06,12,52
5,Residencial Jardines del Sur,Residencial,Estructura,Armado,Acero,Kg,81,4500,364500,22,28,22,-6,130000,3640000,2860000,780000,21.428571428571427,Bogotá,Soleado,Ahorro,2025-01-11,2025-01-29,10,18
6,Centro Comercial Plaza Central,Comercial,Instalaciones,Sanitaria,Punto sanitario,Punto,19,150000,2850000,18,17,18,1,120000,2040000,2160000,-120000,-5.88235294117647,Bogotá,Lluvia,Sobrecosto,2025-01-19,2025-02-01,18,13
2,Conjunto Cerrado Villa Campestre,Residencial,Instalaciones,Sanitaria,Punto sanitario,Punto,18,150000,2700000,18,18,18,0,120000,2160000,2160000,0,0.0,Bogotá,Soleado,En presupuesto,2025-01-04,2025-02-04,3,31
7,Edificio Corporativo Torre Norte,Comercial,Instalaciones,Gas,Punto gas,Punto,15,130000,1950000,11,10,11,1,120000,1200000,1320000,-120000,-10.0,Bogotá,Lluvia,Sobrecosto,2025-01-10,2025-02-10,9,31
7,Edificio Corporativo Torre Norte,Comercial,Instalaciones,Sanitaria,Punto sanitario,Punto,7,150000,1050000,13,16,13,-3,120000,1920000,1560000,360000,18.75,Bogotá,Nublado,Ahorro,2025-01-12,2025-02-03,11,22
5,Residencial Jardines del Sur,Residencial,Acabados,Pintura,Pintura,Galón,12,90000,1080000,15,17,15,-2,90000,1530000,1350000,180000,11.76470588235294,Bogotá,Nublado,Ahorro,2025-01-08,2025-01-18,7,10
6,Centro Comercial Plaza Central,Comercial,Equipamiento,Instalación closet,MDF,Unidad,12,200000,2400000,7,7,7,0,110000,770000,770000,0,0.0,Bogotá,Nublado,En presupuesto,2025-01-13,2025-01-16,12,3
0,Conjunto Residencial Marsella,Residencial,Equipamiento,Lavadero,Lavadero,Unidad,1,250000,250000,5,5,5,0,95000,475000,475000,0,0.0,Bogotá,Nublado,En presupuesto,2025-01-12,2025-01-13,11,1
2,Conjunto Cerrado Villa Campestre,Residencial,Estructura,Vaciado,Concreto,m3,9,350000,3150000,19,24,19,-5,130000,3120000,2470000,650000,20.833333333333336,Bogotá,Soleado,Ahorro,2025-01-13,2025-02-21,12,39
8,Mall Gran Avenida,Comercial,Estructura,Vaciado,Concreto,m3,8,350000,2800000,16,20,16,-4,130000,2600000,2080000,520000,20.0,Bogotá,Soleado,Ahorro,2025-01-13,2025-02-04,12,22
7,Edificio Corporativo Torre Norte,Comercial,Cimentación,Vaciado,Concreto,m3,10,350000,3500000,16,14,16,2,130000,1820000,2080000,-260000,-14.285714285714285,Bogotá,Nublado,Sobrecosto,2025-01-17,2025-01-30,16,13
6,Centro Comercial Plaza Central,Comercial,Cimentación,Armado,Acero,Kg,110,4500,495000,28,24,28,4,130000,3120000,3640000,-520000,-16.666666666666664,Bogotá,Lluvia,Sobrecosto,2025-01-18,2025-02-18,17,31
9,Centro Empresarial Nova,Comercial,Acabados,Cielorraso,Drywall,Lámina,27,40000,1080000,17,15,17,2,100000,1500000,1700000,-200000,-13.333333333333334,Bogotá,Lluvia,Sobrecosto,2025-01-06,2025-02-16,5,41
3,Residencial Altos del Norte,Residencial,Equipamiento,Instalación cocina,MDF,Unidad,12,200000,2400000,9,10,9,-1,110000,1100000,990000,110000,10.0,Bogotá,Soleado,Ahorro,2025-01-13,2025-01-22,12,9
7,Edificio Corporativo Torre Norte,Comercial,Equipamiento,Instalación closet,MDF,Unidad,20,200000,4000000,10,11,10,-1,110000,1210000,1100000,110000,9.090909090909092,Bogotá,Soleado,Ahorro,2025-01-18,2025-02-15,17,28
4,Conjunto Horizonte Verde,Residencial,Cimentación,Vaciado,Concreto,m3,15,350000,5250000,19,18,19,1,130000,2340000,2470000,-130000,-5.555555555555555,Bogotá,Nublado,Sobrecosto,2025-01-15,2025-03-07,14,51
8,Mall Gran Avenida,Comercial,Cimentación,Vaciado,Concreto,m3,11,350000,3850000,22,19,22,3,130000,2470000,2860000,-390000,-15.789473684210526,Bogotá,Nublado,Sobrecosto,2025-01-15,2025-03-11,14,55
9,Centro Empresarial Nova,Comercial,Acabados,Enchape,Cerámica,m2,30,50000,1500000,18,20,18,-2,105000,2100000,1890000,210000,10.0,Bogotá,Nublado,Ahorro,2025-01-11,2025-03-14,10,62
2,Conjunto Cerrado Villa Campestre,Residencial,Estructura,Armado,Acero,Kg,89,4500,400500,24,24,24,0,130000,3120000,3120000,0,0.0,Bogotá,Soleado,En presupuesto,2025-01-12,2025-01-30,11,18
9,Centro Empresarial Nova,Comercial,Acabados,Enchape,Cerámica,m2,37,50000,1850000,14,17,14,-3,105000,1785000,1470000,315000,17.647058823529413,Bogotá,Soleado,Ahorro,2025-01-13,2025-03-10,12,56
4,Conjunto Horizonte Verde,Residencial,Acabados,Cielorraso,Drywall,Lámina,26,40000,1040000,10,11,10,-1,100000,1100000,1000000,100000,9.090909090909092,Bogotá,Soleado,Ahorro,2025-01-14,2025-02-15,13,32
7,Edificio Corporativo Torre Norte,Comercial,Estructura,Vaciado,Concreto,m3,13,350000,4550000,23,24,23,-1,130000,3120000,2990000,130000,4.166666666666666,Bogotá,Soleado,Ahorro,2025-01-17,2025-02-27,16,41
7,Edificio Corporativo Torre Norte,Comercial,Estructura,Armado,Acero,Kg,100,4500,450000,17,15,17,2,130000,1950000,2210000,-260000,-13.333333333333334,Bogotá,Nublado,Sobrecosto,2025-01-11,2025-01-18,10,7
2,Conjunto Cerrado Villa Campestre,Residencial,Instalaciones,Eléctrica,Punto eléctrico,Punto,7,120000,840000,14,16,14,-2,120000,1920000,1680000,240000,12.5,Bogotá,Soleado,Ahorro,2025-01-07,2025-01-28,6,21
2,Conjunto Cerrado Villa Campestre,Residencial,Instalaciones,Acueducto,Punto agua,Punto,11,140000,1540000,10,10,10,0,120000,1200000,1200000,0,0.0,Bogotá,Soleado,En presupuesto,2025-01-12,2025-02-18,11,37
6,Centro Comercial Plaza Central,Comercial,Acabados,Cielorraso,Drywall,Lámina,15,40000,600000,17,19,17,-2,100000,1900000,1700000,200000,10.526315789473683,Bogotá,Soleado,Ahorro,2025-01-15,2025-02-17,14,33
5,Residencial Jardines del Sur,Residencial,Equipamiento,Accesorios baño,Juego sanitario,Unidad,3,300000,900000,5,5,5,0,100000,500000,500000,0,0.0,Bogotá,Soleado,En presupuesto,2025-01-17,2025-01-16,16,-1
9,Centro Empresarial Nova,Comercial,Equipamiento,Instalación cocina,MDF,Unidad,8,200000,1600000,8,9,8,-1,110000,990000,880000,110000,11.11111111111111,Bogotá,Soleado,Ahorro,2025-01-10,2025-02-12,9,33
3,Residencial Altos del Norte,Residencial,Acabados,Pintura,Pintura,Galón,5,90000,450000,13,15,13,-2,90000,1350000,1170000,180000,13.333333333333334,Bogotá,Soleado,Ahorro,2025-01-13,2025-01-22,12,9
8,Mall Gran Avenida,Comercial,Acabados,Pintura,Pintura,Galón,14,90000,1260000,14,18,14,-4,90000,1620000,1260000,360000,22.22222222222222,Bogotá,Nublado,Ahorro,2025-01-12,2025-02-26,11,45
5,Residencial Jardines del Sur,Residencial,Estructura,Armado,Acero,Kg,118,4500,531000,28,31,28,-3,130000,4030000,3640000,390000,9.67741935483871,Bogotá,Soleado,Ahorro,2025-01-10,2025-02-10,9,31
7,Edificio Corporativo Torre Norte,Comercial,Equipamiento,Lavadero,Lavadero,Unidad,6,250000,1500000,4,5,4,-1,95000,475000,380000,95000,20.0,Bogotá,Soleado,Ahorro,2025-01-16,2025-01-29,15,13
1,Urbanización Los Almendros,Residencial,Equipamiento,Instalación cocina,MDF,Unidad,6,200000,1200000,14,15,14,-1,110000,1650000,1540000,110000,6.666666666666667,Bogotá,Soleado,Ahorro,2025-01-10,2025-02-11,9,32
9,Centro Empresarial Nova,Comercial,Cimentación,Armado,Acero,Kg,101,4500,454500,28,33,28,-5,130000,4290000,3640000,650000,15.151515151515152,Bogotá,Soleado,Ahorro,2025-01-18,2025-03-15,17,56
9,Centro Empresarial Nova,Comercial,Cimentación,Armado,Acero,Kg,81,4500,364500,28,26,28,2,130000,3380000,3640000,-260000,-7.6923076923076925,Bogotá,Nublado,Sobrecosto,2025-01-13,2025-03-17,12,63
5,Residencial Jardines del Sur,Residencial,Instalaciones,Gas,Punto gas,Punto,14,130000,1820000,14,17,14,-3,120000,2040000,1680000,360000,17.647058823529413,Bogotá,Nublado,Ahorro,2025-01-12,2025-02-14,11,33
4,Conjunto Horizonte Verde,Residencial,Instalaciones,Sanitaria,Punto sanitario,Punto,19,150000,2850000,12,11,12,1,120000,1320000,1440000,-120000,-9.090909090909092,Bogotá,Lluvia,Sobrecosto,2025-01-14,2025-02-25,13,42
6,Centro Comercial Plaza Central,Comercial,Acabados,Enchape,Cerámica,m2,28,50000,1400000,17,19,17,-2,105000,1995000,1785000,210000,10.526315789473683,Bogotá,Nublado,Ahorro,2025-01-19,2025-02-24,18,36
5,Residencial Jardines del Sur,Residencial,Estructura,Vaciado,Concreto,m3,6,350000,2100000,17,18,17,-1,130000,2340000,2210000,130000,5.555555555555555,Bogotá,Soleado,Ahorro,2025-01-20,2025-02-06,19,17
4,Conjunto Horizonte Verde,Residencial,Cimentación,Armado,Acero,Kg,110,4500,495000,19,17,19,2,130000,2210000,2470000,-260000,-11.76470588235294,Bogotá,Nublado,Sobrecosto,2025-01-16,2025-02-14,15,29
5,Residencial Jardines del Sur,Residencial,Cimentación,Armado,Acero,Kg,106,4500,477000,29,37,29,-8,130000,4810000,3770000,1040000,21.62162162162162,Bogotá,Soleado,Ahorro,2025-01-13,2025-02-05,12,23
3,Residencial Altos del Norte,Residencial,Estructura,Armado,Acero,Kg,86,4500,387000,21,27,21,-6,130000,3510000,2730000,780000,22.22222222222222,Bogotá,Soleado,Ahorro,2025-01-16,2025-01-22,15,6
2,Conjunto Cerrado Villa Campestre,Residencial,Cimentación,Armado,Acero,Kg,108,4500,486000,23,22,23,1,130000,2860000,2990000,-130000,-4.545454545454546,Bogotá,Lluvia,Sobrecosto,2025-01-12,2025-02-09,11,28
1,Urbanización Los Almendros,Residencial,Cimentación,Vaciado,Concreto,m3,11,350000,3850000,29,34,29,-5,130000,4420000,3770000,650000,14.705882352941178,Bogotá,Nublado,Ahorro,2025-01-06,2025-02-27,5,52
5,Residencial Jardines del Sur,Residencial,Estructura,Vaciado,Concreto,m3,6,350000,2100000,16,19,16,-3,130000,2470000,2080000,390000,15.789473684210526,Bogotá,Soleado,Ahorro,2025-01-21,2025-02-09,20,19
8,Mall Gran Avenida,Comercial,Estructura,Vaciado,Concreto,m3,11,350000,3850000,19,23,19,-4,130000,2990000,2470000,520000,17.391304347826086,Bogotá,Soleado,Ahorro,2025-01-18,2025-02-12,17,25
3,Residencial Altos del Norte,Residencial,Equipamiento,Lavadero,Lavadero,Unidad,8,250000,2000000,4,4,4,0,95000,380000,380000,0,0.0,Bogotá,Nublado,En presupuesto,2025-01-20,2025-01-09,19,-11
4,Conjunto Horizonte Verde,Residencial,Equipamiento,Accesorios baño,Juego sanitario,Unidad,6,300000,1800000,5,6,5,-1,100000,600000,500000,100000,16.666666666666664,Bogotá,Soleado,Ahorro,2025-01-21,2025-01-24,20,3
5,Residencial Jardines del Sur,Residencial,Estructura,Armado,Acero,Kg,95,4500,427500,26,34,26,-8,130000,4420000,3380000,1040000,23.52941176470588,Bogotá,Soleado,Ahorro,2025-01-22,2025-03-14,21,51
9,Centro Empresarial Nova,Comercial,Equipamiento,Accesorios baño,Juego sanitario,Unidad,5,300000,1500000,5,5,5,0,100000,500000,500000,0,0.0,Bogotá,Soleado,En presupuesto,2025-01-19,2025-02-08,18,20
1,Urbanización Los Almendros,Residencial,Equipamiento,Instalación cocina,MDF,Unidad,20,200000,4000000,13,15,13,-2,110000,1650000,1430000,220000,13.333333333333334,Bogotá,Soleado,Ahorro,2025-01-08,2025-01-17,7,9
6,Centro Comercial Plaza Central,Comercial,Cimentación,Armado,Acero,Kg,92,4500,414000,26,23,26,3,130000,2990000,3380000,-390000,-13.043478260869565,Bogotá,Lluvia,Sobrecosto,2025-01-20,2025-03-25,19,64
1,Urbanización Los Almendros,Residencial,Cimentación,Vaciado,Concreto,m3,10,350000,3500000,24,30,24,-6,130000,3900000,3120000,780000,20.0,Bogotá,Soleado,Ahorro,2025-01-14,2025-02-12,13,29
0,Conjunto Residencial Marsella,Residencial,Cimentación,Vaciado,Concreto,m3,9,350000,3150000,19,19,19,0,130000,2470000,2470000,0,0.0,Bogotá,Nublado,En presupuesto,2025-01-16,2025-02-21,15,36
3,Residencial Altos del Norte,Residencial,Cimentación,Vaciado,Concreto,m3,8,350000,2800000,16,15,16,1,130000,1950000,2080000,-130000,-6.666666666666667,Bogotá,Lluvia,Sobrecosto,2025-01-18,2025-02-22,17,35
