proyecto,nombre_proyecto,tipo_proyecto,fase,actividad,material,unidad_medida,cantidad_material,costo_unitario,costo_material,dias_trabajados,duracion_estimada,duracion_real,retraso_dias,costo_mano_obra,costo_estimado,costo_real,diferencia_costo,porcentaje_desviacion,ciudad,clima,estado_costo,fecha_inicio,fecha_fin,offset_inicio,duracion_calculada,costo_total
4,Conjunto Horizonte Verde,Residencial,Equipamiento,Instalación cocina,MDF,Unidad,14,200000,2800000,13,16,13,-3,110000.0,1760000.0,1430000.0,330000.0,-19.0,Bogotá,Soleado,Ahorro,2025-01-13,2025-02-14,12,32,2910000.0
2,Conjunto Cerrado Villa Campestre,Residencial,Acabados,Pintura,Pintura,Galón,7,90000,630000,15,14,15,1,90000.0,1260000.0,1350000.0,-90000.0,7.0,Bogotá,Lluvia,Sobrecosto,2025-01-09,2025-02-23,8,45,720000.0
5,Residencial Jardines del Sur,Residencial,Estructura,Vaciado,Concreto,m3,7,350000,2450000,21,19,21,2,130000.0,2470000.0,2730000.0,-260000.0,11.0,Bogotá,Lluvia,Sobrecosto,2025-01-05,2025-01-28,4,23,2580000.0
3,Residencial Altos del Norte,Residencial,Equipamiento,Lavadero,Lavadero,Unidad,2,250000,500000,3,3,3,0,95000.0,285000.0,285000.0,0.0,0.0,Bogotá,Nublado,En presupuesto,2025-01-09,2025-01-11,8,2,595000.0
5,Residencial Jardines del Sur,Residencial,Equipamiento,Lavadero,Lavadero,Unidad,6,250000,1500000,3,3,3,0,95000.0,285000.0,285000.0,0.0,0.0,Bogotá,Nublado,En presupuesto,2025-01-13,2025-01-30,12,17,1595000.0
4,Conjunto Horizonte Verde,Residencial,Cimentación,Armado,Acero,Kg,101,4500,454500,26,30,26,-4,130000.0,3900000.0,3380000.0,520000.0,-13.0,Bogotá,Soleado,Ahorro,2025-01-07,2025-02-03,6,27,584500.0
0,Conjunto Residencial Marsella,Residencial,Cimentación,Armado,Acero,Kg,112,4500,504000,29,34,29,-5,130000.0,4420000.0,3770000.0,650000.0,-15.0,Bogotá,Soleado,Ahorro,2025-01-06,2025-03-25,5,78,634000.0
2,Conjunto Cerrado Villa Campestre,Residencial,Estructura,Armado,Acero,Kg,106,4500,477000,24,24,24,0,130000.0,3120000.0,3120000.0,0.0,0.0,Bogotá,Soleado,En presupuesto,2025-01-08,2025-03-07,7,58,607000.0
9,Centro Empresarial Nova,Comercial,Instalaciones,Sanitaria,Punto sanitario,Punto,12,150000,1800000,10,11,10,-1,120000.0,1320000.0,1200000.0,120000.0,-9.0,Bogotá,Soleado,Ahorro,2025-01-04,2025-03-06,3,61,1920000.0
9,Centro Empresarial Nova,Comercial,Instalaciones,Gas,Punto gas,Punto,11,130000,1430000,13,12,13,1,120000.0,1440000.0,1560000.0,-120000.0,8.0,Bogotá,Nublado,Sobrecosto,2025-01-07,2025-02-08,6,32,1550000.0
8,Mall Gran Avenida,Comercial,Estructura,Vaciado,Concreto,m3,15,350000,5250000,18,16,18,2,130000.0,2080000.0,2340000.0,-260000.0,13.0,Bogotá,Lluvia,Sobrecosto,2025-01-08,2025-02-06,7,29,5380000.0
6,Centro Comercial Plaza Central,Comercial,Estructura,Armado,Acero,Kg,101,4500,454500,20,24,20,-4,130000.0,3120000.0,2600000.0,520000.0,-17.0,Bogotá,Soleado,Ahorro,2025-01-07,2025-01-27,6,20,584500.0
4,Conjunto Horizonte Verde,Residencial,Estructura,Armado,Acero,Kg,96,4500,432000,22,23,22,-1,130000.0,2990000.0,2860000.0,130000.0,-4.0,Bogotá,Soleado,Ahorro,2025-01-07,2025-02-05,6,29,562000.0
4,Conjunto Horizonte Verde,Residencial,Equipamiento,Instalación closet,MDF,Unidad,12,200000,2400000,5,5,5,0,110000.0,550000.0,550000.0,0.0,0.0,Bogotá,Nublado,En presupuesto,2025-01-15,2025-01-20,14,5,2510000.0
8,Mall Gran Avenida,Comercial,Equipamiento,Accesorios baño,Juego sanitario,Unidad,2,300000,600000,8,10,8,-2,100000.0,1000000.0,800000.0,200000.0,-20.0,Bogotá,Soleado,Ahorro,2025-01-14,2025-01-18,13,4,700000.0
6,Centro Comercial Plaza Central,Comercial,Estructura,Vaciado,Concreto,m3,14,350000,4900000,17,17,17,0,130000.0,2210000.0,2210000.0,0.0,0.0,Bogotá,Soleado,En presupuesto,2025-01-08,2025-02-03,7,26,5030000.0
3,Residencial Altos del Norte,Residencial,Equipamiento,Instalación cocina,MDF,Unidad,16,200000,3200000,11,12,11,-1,110000.0,1320000.0,1210000.0,110000.0,-8.0,Bogotá,Nublado,Ahorro,2025-01-12,2025-02-08,11,27,3310000.0
7,Edificio Corporativo Torre Norte,Comercial,Equipamiento,Accesorios baño,Juego sanitario,Unidad,4,300000,1200000,5,5,5,0,100000.0,500000.0,500000.0,0.0,0.0,Bogotá,Soleado,En presupuesto,2025-01-07,2025-01-18,6,11,1300000.0
1,Urbanización Los Almendros,Residencial,Estructura,Armado,Acero,Kg,118,4500,531000,21,23,21,-2,130000.0,2990000.0,2730000.0,260000.0,-9.0,Bogotá,Nublado,Ahorro,2025-01-06,2025-03-20,5,73,661000.0
4,Conjunto Horizonte Verde,Residencial,Cimentación,Armado,Acero,Kg,115,4500,517500,15,13,15,2,130000.0,1690000.0,1950000.0,-260000.0,15.0,Bogotá,Nublado,Sobrecosto,2025-01-13,2025-03-05,12,51,647500.0
4,Conjunto Horizonte Verde,Residencial,Cimentación,Vaciado,Concreto,m3,11,350000,3850000,16,19,16,-3,130000.0,2470000.0,2080000.0,390000.0,-16.0,Bogotá,Nublado,Ahorro,2025-01-12,2025-02-25,11,44,3980000.0
2,Conjunto Cerrado Villa Campestre,Residencial,Equipamiento,Instalación closet,MDF,Unidad,17,200000,3400000,11,10,11,1,110000.0,1100000.0,1210000.0,-110000.0,10.0,Bogotá,Lluvia,Sobrecosto,2025-01-05,2025-01-20,4,15,3510000.0
6,Centro Comercial Plaza Central,Comercial,Equipamiento,Lavadero,Lavadero,Unidad,1,250000,250000,3,3,3,0,95000.0,285000.0,285000.0,0.0,0.0,Bogotá,Nublado,En presupuesto,2025-01-09,2025-01-11,8,2,345000.0
0,Conjunto Residencial Marsella,Residencial,Cimentación,Armado,Acero,Kg,98,4500,441000,19,19,19,0,130000.0,2470000.0,2470000.0,0.0,0.0,Bogotá,Soleado,En presupuesto,2025-01-09,2025-03-05,8,55,571000.0
1,Urbanización Los Almendros,Residencial,Cimentación,Armado,Acero,Kg,112,4500,504000,17,16,17,1,130000.0,2080000.0,2210000.0,-130000.0,6.0,Bogotá,Lluvia,Sobrecosto,2025-01-06,2025-03-06,5,59,634000.0
6,Centro Comercial Plaza Central,Comercial,Equipamiento,Instalación cocina,MDF,Unidad,5,200000,1000000,14,14,14,0,110000.0,1540000.0,1540000.0,0.0,0.0,Bogotá,Soleado,En presupuesto,2025-01-14,2025-02-28,13,45,1110000.0
3,Residencial Altos del Norte,Residencial,Equipamiento,Lavadero,Lavadero,Unidad,3,250000,750000,6,7,6,-1,95000.0,665000.0,570000.0,95000.0,-14.0,Bogotá,Soleado,Ahorro,2025-01-11,2025-02-10,10,30,845000.0
1,Urbanización Los Almendros,Residencial,Estructura,Vaciado,Concreto,m3,7,350000,2450000,17,17,17,0,130000.0,2210000.0,2210000.0,0.0,0.0,Bogotá,Soleado,En presupuesto,2025-01-05,2025-02-09,4,35,2580000.0
0,Conjunto Residencial Marsella,Residencial,Equipamiento,Accesorios baño,Juego sanitario,Unidad,9,300000,2700000,5,5,5,0,100000.0,500000.0,500000.0,0.0,0.0,Bogotá,Nublado,En presupuesto,2025-01-11,2025-02-05,10,25,2800000.0
7,Edificio Corporativo Torre Norte,Comercial,Equipamiento,Lavadero,Lavadero,Unidad,10,250000,2500000,5,5,5,0,95000.0,475000.0,475000.0,0.0,0.0,Bogotá,Soleado,En presupuesto,2025-01-12,2025-02-19,11,38,2595000.0
5,Residencial Jardines del Sur,Residencial,Acabados,Enchape,Cerámica,m2,36,50000,1800000,17,20,17,-3,105000.0,2100000.0,1785000.0,315000.0,-15.0,Bogotá,Soleado,Ahorro,2025-01-09,2025-02-25,8,47,1905000.0
6,Centro Comercial Plaza Central,Comercial,Acabados,Pintura,Pintura,Galón,10,90000,900000,10,9,10,1,90000.0,810000.0,900000.0,-90000.0,11.0,Bogotá,Lluvia,Sobrecosto,2025-01-09,2025-02-01,8,23,990000.0
4,Conjunto Horizonte Verde,Residencial,Estructura,Vaciado,Concreto,m3,7,350000,2450000,15,19,15,-4,130000.0,2470000.0,1950000.0,520000.0,-21.0,Bogotá,Soleado,Ahorro,2025-01-11,2025-01-18,10,7,2580000.0
8,Mall Gran Avenida,Comercial,Acabados,Estuco,Estuco plástico,Bulto,15,30000,450000,10,9,10,1,95000.0,855000.0,950000.0,-95000.0,11.0,Bogotá,Nublado,Sobrecosto,2025-01-14,2025-01-20,13,6,545000.0
9,Centro Empresarial Nova,Comercial,Acabados,Estuco,Estuco plástico,Bulto,29,30000,870000,10,10,10,0,95000.0,950000.0,950000.0,0.0,0.0,Bogotá,Nublado,En presupuesto,2025-01-13,2025-02-25,12,43,965000.0
6,Centro Comercial Plaza Central,Comercial,Equipamiento,Lavadero,Lavadero,Unidad,7,250000,1750000,3,3,3,0,95000.0,285000.0,285000.0,0.0,0.0,Bogotá,Nublado,En presupuesto,2025-01-18,2025-02-17,17,30,1845000.0
6,Centro Comercial Plaza Central,Comercial,Equipamiento,Instalación closet,MDF,Unidad,6,200000,1200000,9,8,9,1,110000.0,880000.0,990000.0,-110000.0,13.0,Bogotá,Lluvia,Sobrecosto,2025-01-13,2025-03-06,12,52,1310000.0
5,Residencial Jardines del Sur,Residencial,Estructura,Armado,Acero,Kg,81,4500,364500,22,28,22,-6,130000.0,3640000.0,2860000.0,780000.0,-21.0,Bogotá,Soleado,Ahorro,2025-01-11,2025-01-29,10,18,494500.0
6,Centro Comercial Plaza Central,Comercial,Instalaciones,Sanitaria,Punto sanitario,Punto,19,150000,2850000,18,17,18,1,120000.0,2040000.0,2160000.0,-120000.0,6.0,Bogotá,Lluvia,Sobrecosto,2025-01-19,2025-02-01,18,13,2970000.0
2,Conjunto Cerrado Villa Campestre,Residencial,Instalaciones,Sanitaria,Punto sanitario,Punto,18,150000,2700000,18,18,18,0,120000.0,2160000.0,2160000.0,0.0,0.0,Bogotá,Soleado,En presupuesto,2025-01-04,2025-02-04,3,31,2820000.0
7,Edificio Corporativo Torre Norte,Comercial,Instalaciones,Gas,Punto gas,Punto,15,130000,1950000,11,10,11,1,120000.0,1200000.0,1320000.0,-120000.0,10.0,Bogotá,Lluvia,Sobrecosto,2025-01-10,2025-02-10,9,31,2070000.0
7,Edificio Corporativo Torre Norte,Comercial,Instalaciones,Sanitaria,Punto sanitario,Punto,7,150000,1050000,13,16,13,-3,120000.0,1920000.0,1560000.0,360000.0,-19.0,Bogotá,Nublado,Ahorro,2025-01-12,2025-02-03,11,22,1170000.0
5,Residencial Jardines del Sur,Residencial,Acabados,Pintura,Pintura,Galón,12,90000,1080000,15,17,15,-2,90000.0,1530000.0,1350000.0,180000.0,-12.0,Bogotá,Nublado,Ahorro,2025-01-08,2025-01-18,7,10,1170000.0
6,Centro Comercial Plaza Central,Comercial,Equipamiento,Instalación closet,MDF,Unidad,12,200000,2400000,7,7,7,0,110000.0,770000.0,770000.0,0.0,0.0,Bogotá,Nublado,En presupuesto,2025-01-13,2025-01-16,12,3,2510000.0
0,Conjunto Residencial Marsella,Residencial,Equipamiento,Lavadero,Lavadero,Unidad,1,250000,250000,5,5,5,0,95000.0,475000.0,475000.0,0.0,0.0,Bogotá,Nublado,En presupuesto,2025-01-12,2025-01-13,11,1,345000.0
2,Conjunto Cerrado Villa Campestre,Residencial,Estructura,Vaciado,Concreto,m3,9,350000,3150000,19,24,19,-5,130000.0,3120000.0,2470000.0,650000.0,-21.0,Bogotá,Soleado,Ahorro,2025-01-13,2025-02-21,12,39,3280000.0
8,Mall Gran Avenida,Comercial,Estructura,Vaciado,Concreto,m3,8,350000,2800000,16,20,16,-4,130000.0,2600000.0,2080000.0,520000.0,-20.0,Bogotá,Soleado,Ahorro,2025-01-13,2025-02-04,12,22,2930000.0
7,Edificio Corporativo Torre Norte,Comercial,Cimentación,Vaciado,Concreto,m3,10,350000,3500000,16,14,16,2,130000.0,1820000.0,2080000.0,-260000.0,14.0,Bogotá,Nublado,Sobrecosto,2025-01-17,2025-01-30,16,13,3630000.0
6,Centro Comercial Plaza Central,Comercial,Cimentación,Armado,Acero,Kg,110,4500,495000,28,24,28,4,130000.0,3120000.0,3640000.0,-520000.0,17.0,Bogotá,Lluvia,Sobrecosto,2025-01-18,2025-02-18,17,31,625000.0
9,Centro Empresarial Nova,Comercial,Acabados,Cielorraso,Drywall,Lámina,27,40000,1080000,17,15,17,2,100000.0,1500000.0,1700000.0,-200000.0,13.0,Bogotá,Lluvia,Sobrecosto,2025-01-06,2025-02-16,5,41,1180000.0
3,Residencial Altos del Norte,Residencial,Equipamiento,Instalación cocina,MDF,Unidad,12,200000,2400000,9,10,9,-1,110000.0,1100000.0,990000.0,110000.0,-10.0,Bogotá,Soleado,Ahorro,2025-01-13,2025-01-22,12,9,2510000.0
7,Edificio Corporativo Torre Norte,Comercial,Equipamiento,Instalación closet,MDF,Unidad,20,200000,4000000,10,11,10,-1,110000.0,1210000.0,1100000.0,110000.0,-9.0,Bogotá,Soleado,Ahorro,2025-01-18,2025-02-15,17,28,4110000.0
4,Conjunto Horizonte Verde,Residencial,Cimentación,Vaciado,Concreto,m3,15,350000,5250000,19,18,19,1,130000.0,2340000.0,2470000.0,-130000.0,6.0,Bogotá,Nublado,Sobrecosto,2025-01-15,2025-03-07,14,51,5380000.0
8,Mall Gran Avenida,Comercial,Cimentación,Vaciado,Concreto,m3,11,350000,3850000,22,19,22,3,130000.0,2470000.0,2860000.0,-390000.0,16.0,Bogotá,Nublado,Sobrecosto,2025-01-15,2025-03-11,14,55,3980000.0
9,Centro Empresarial Nova,Comercial,Acabados,Enchape,Cerámica,m2,30,50000,1500000,18,20,18,-2,105000.0,2100000.0,1890000.0,210000.0,-10.0,Bogotá,Nublado,Ahorro,2025-01-11,2025-03-14,10,62,1605000.0
2,Conjunto Cerrado Villa Campestre,Residencial,Estructura,Armado,Acero,Kg,89,4500,400500,24,24,24,0,130000.0,3120000.0,3120000.0,0.0,0.0,Bogotá,Soleado,En presupuesto,2025-01-12,2025-01-30,11,18,530500.0
9,Centro Empresarial Nova,Comercial,Acabados,Enchape,Cerámica,m2,37,50000,1850000,14,17,14,-3,105000.0,1785000.0,1470000.0,315000.0,-18.0,Bogotá,Soleado,Ahorro,2025-01-13,2025-03-10,12,56,1955000.0
4,Conjunto Horizonte Verde,Residencial,Acabados,Cielorraso,Drywall,Lámina,26,40000,1040000,10,11,10,-1,100000.0,1100000.0,1000000.0,100000.0,-9.0,Bogotá,Soleado,Ahorro,2025-01-14,2025-02-15,13,32,1140000.0
7,Edificio Corporativo Torre Norte,Comercial,Estructura,Vaciado,Concreto,m3,13,350000,4550000,23,24,23,-1,130000.0,3120000.0,2990000.0,130000.0,-4.0,Bogotá,Soleado,Ahorro,2025-01-17,2025-02-27,16,41,4680000.0
7,Edificio Corporativo Torre Norte,Comercial,Estructura,Armado,Acero,Kg,100,4500,450000,17,15,17,2,130000.0,1950000.0,2210000.0,-260000.0,13.0,Bogotá,Nublado,Sobrecosto,2025-01-11,2025-01-18,10,7,580000.0
2,Conjunto Cerrado Villa Campestre,Residencial,Instalaciones,Eléctrica,Punto eléctrico,Punto,7,120000,840000,14,16,14,-2,120000.0,1920000.0,1680000.0,240000.0,-13.0,Bogotá,Soleado,Ahorro,2025-01-07,2025-01-28,6,21,960000.0
2,Conjunto Cerrado Villa Campestre,Residencial,Instalaciones,Acueducto,Punto agua,Punto,11,140000,1540000,10,10,10,0,120000.0,1200000.0,1200000.0,0.0,0.0,Bogotá,Soleado,En presupuesto,2025-01-12,2025-02-18,11,37,1660000.0
6,Centro Comercial Plaza Central,Comercial,Acabados,Cielorraso,Drywall,Lámina,15,40000,600000,17,19,17,-2,100000.0,1900000.0,1700000.0,200000.0,-11.0,Bogotá,Soleado,Ahorro,2025-01-15,2025-02-17,14,33,700000.0
5,Residencial Jardines del Sur,Residencial,Equipamiento,Accesorios baño,Juego sanitario,Unidad,3,300000,900000,5,5,5,0,100000.0,500000.0,500000.0,0.0,0.0,Bogotá,Soleado,En presupuesto,2025-01-17,2025-01-16,16,-1,1000000.0
9,Centro Empresarial Nova,Comercial,Equipamiento,Instalación cocina,MDF,Unidad,8,200000,1600000,8,9,8,-1,110000.0,990000.0,880000.0,110000.0,-11.0,Bogotá,Soleado,Ahorro,2025-01-10,2025-02-12,9,33,1710000.0
3,Residencial Altos del Norte,Residencial,Acabados,Pintura,Pintura,Galón,5,90000,450000,13,15,13,-2,90000.0,1350000.0,1170000.0,180000.0,-13.0,Bogotá,Soleado,Ahorro,2025-01-13,2025-01-22,12,9,540000.0
8,Mall Gran Avenida,Comercial,Acabados,Pintura,Pintura,Galón,14,90000,1260000,14,18,14,-4,90000.0,1620000.0,1260000.0,360000.0,-22.0,Bogotá,Nublado,Ahorro,2025-01-12,2025-02-26,11,45,1350000.0
5,Residencial Jardines del Sur,Residencial,Estructura,Armado,Acero,Kg,118,4500,531000,28,31,28,-3,130000.0,4030000.0,3640000.0,390000.0,-10.0,Bogotá,Soleado,Ahorro,2025-01-10,2025-02-10,9,31,661000.0
7,Edificio Corporativo Torre Norte,Comercial,Equipamiento,Lavadero,Lavadero,Unidad,6,250000,1500000,4,5,4,-1,95000.0,475000.0,380000.0,95000.0,-20.0,Bogotá,Soleado,Ahorro,2025-01-16,2025-01-29,15,13,1595000.0
1,Urbanización Los Almendros,Residencial,Equipamiento,Instalación cocina,MDF,Unidad,6,200000,1200000,14,15,14,-1,110000.0,1650000.0,1540000.0,110000.0,-7.0,Bogotá,Soleado,Ahorro,2025-01-10,2025-02-11,9,32,1310000.0
9,Centro Empresarial Nova,Comercial,Cimentación,Armado,Acero,Kg,101,4500,454500,28,33,28,-5,130000.0,4290000.0,3640000.0,650000.0,-15.0,Bogotá,Soleado,Ahorro,2025-01-18,2025-03-15,17,56,584500.0
9,Centro Empresarial Nova,Comercial,Cimentación,Armado,Acero,Kg,81,4500,364500,28,26,28,2,130000.0,3380000.0,3640000.0,-260000.0,8.0,Bogotá,Nublado,Sobrecosto,2025-01-13,2025-03-17,12,63,494500.0
5,Residencial Jardines del Sur,Residencial,Instalaciones,Gas,Punto gas,Punto,14,130000,1820000,14,17,14,-3,120000.0,2040000.0,1680000.0,360000.0,-18.0,Bogotá,Nublado,Ahorro,2025-01-12,2025-02-14,11,33,1940000.0
4,Conjunto Horizonte Verde,Residencial,Instalaciones,Sanitaria,Punto sanitario,Punto,19,150000,2850000,12,11,12,1,120000.0,1320000.0,1440000.0,-120000.0,9.0,Bogotá,Lluvia,Sobrecosto,2025-01-14,2025-02-25,13,42,2970000.0
6,Centro Comercial Plaza Central,Comercial,Acabados,Enchape,Cerámica,m2,28,50000,1400000,17,19,17,-2,105000.0,1995000.0,1785000.0,210000.0,-11.0,Bogotá,Nublado,Ahorro,2025-01-19,2025-02-24,18,36,1505000.0
5,Residencial Jardines del Sur,Residencial,Estructura,Vaciado,Concreto,m3,6,350000,2100000,17,18,17,-1,130000.0,2340000.0,2210000.0,130000.0,-6.0,Bogotá,Soleado,Ahorro,2025-01-20,2025-02-06,19,17,2230000.0
4,Conjunto Horizonte Verde,Residencial,Cimentación,Armado,Acero,Kg,110,4500,495000,19,17,19,2,130000.0,2210000.0,2470000.0,-260000.0,12.0,Bogotá,Nublado,Sobrecosto,2025-01-16,2025-02-14,15,29,625000.0
5,Residencial Jardines del Sur,Residencial,Cimentación,Armado,Acero,Kg,106,4500,477000,29,37,29,-8,130000.0,4810000.0,3770000.0,1040000.0,-22.0,Bogotá,Soleado,Ahorro,2025-01-13,2025-02-05,12,23,607000.0
3,Residencial Altos del Norte,Residencial,Estructura,Armado,Acero,Kg,86,4500,387000,21,27,21,-6,130000.0,3510000.0,2730000.0,780000.0,-22.0,Bogotá,Soleado,Ahorro,2025-01-16,2025-01-22,15,6,517000.0
2,Conjunto Cerrado Villa Campestre,Residencial,Cimentación,Armado,Acero,Kg,108,4500,486000,23,22,23,1,130000.0,2860000.0,2990000.0,-130000.0,5.0,Bogotá,Lluvia,Sobrecosto,2025-01-12,2025-02-09,11,28,616000.0
1,Urbanización Los Almendros,Residencial,Cimentación,Vaciado,Concreto,m3,11,350000,3850000,29,34,29,-5,130000.0,4420000.0,3770000.0,650000.0,-15.0,Bogotá,Nublado,Ahorro,2025-01-06,2025-02-27,5,52,3980000.0
